tower_id,signal_strength_avg,network_downtime_minutes,network_congestion_level,avg_signal_strength
34789,-60.07124847,55,Medium,-83.40865566
13437,-100.5885892,136,Low,-73.88662226
30974,-104.6373993,31,Medium,-77.78593089
6609,-89.41848275,20,Low,-73.79937019
39102,-87.12308895,40,Low,-76.37455977
26286,-117.5177418,36,Medium,-88.84465024
43445,-85.75216108,149,Low,-73.3916811
17259,-59.90192532,36,High,-63.86215171
39369,-84.49016099,12,Medium,-56.35766569
21144,-93.81288006,115,Low,-79.95059305
49440,-83.43805174,19,Low,-70.67479491
37399,-80.78207138,76,Medium,-89.72158694
33971,-55.53911099,45,Medium,-65.03467393
17741,-102.063826,136,Low,-70.75469825
13196,-104.4828602,146,High,-62.23557655
29304,-108.7070207,14,High,-62.32535034
19871,-60.77916864,139,Low,-67.68086449
26070,-63.05383617,30,Medium,-85.1182526
9651,-82.10454644,5,High,-62.3320372
38353,-61.21904529,42,High,-71.84595717
21827,-94.21217166,87,High,-52.48357413
13880,-110.3669401,68,High,-77.50133112
45630,-73.14233888,54,High,-84.45944704
5784,-90.93335668,27,High,-73.58859255
24154,-118.068858,142,High,-62.68711883
23464,-52.37226016,100,Medium,-79.24819787
5203,-77.78756037,42,Medium,-88.78169722
37296,-99.83228469,139,High,-54.44306445
36088,-106.4021759,82,High,-82.30130612
6772,-77.16531862,54,High,-57.41185243
31658,-85.70580694,48,High,-51.89420751
19178,-53.28097103,28,Medium,-55.19562102
27341,-108.3076249,145,Medium,-64.57761867
38923,-104.7782591,26,Medium,-60.50233832
47274,-61.70915866,12,Low,-84.34695955
38646,-110.4848689,30,Medium,-54.50204628
35439,-73.37944997,31,High,-65.22328438
13739,-110.4913336,68,Medium,-73.50873122
21594,-69.36189264,34,High,-87.87252532
46320,-82.19988017,107,High,-69.26323198
49248,-98.20647874,28,High,-53.0731968
11630,-57.95117242,103,Medium,-84.66299754
8467,-109.6878551,59,Low,-58.18683106
15711,-76.39297116,58,Medium,-80.31878869
4260,-106.8707203,41,Low,-89.87026208
27927,-76.36455993,12,Low,-58.19246668
22528,-108.0152782,48,Low,-51.43144286
41092,-107.4551564,77,High,-58.12673781
628,-105.4201822,59,Low,-85.67643488
43635,-118.9517656,93,Low,-58.15142871
16147,-61.12536583,120,High,-50.40851572
18669,-84.40378294,103,Medium,-71.92596102
9313,-65.7968664,129,Medium,-61.51976279
45260,-113.2349513,106,Low,-62.92848923
38683,-119.1629229,70,Medium,-66.36593353
27588,-60.33054608,48,Low,-62.03230398
41350,-96.54579717,115,High,-67.31721672
17058,-80.43665186,42,Medium,-82.38590063
20712,-93.38045666,146,Low,-83.81952204
14918,-97.24833114,108,Low,-75.14355754
35543,-110.1318435,137,Medium,-77.4333652
4417,-118.3148766,125,Medium,-73.13590985
42019,-98.91188578,13,Medium,-77.76426229
5198,-61.78482664,122,Medium,-77.55323985
30386,-53.79592563,59,High,-52.93090384
23706,-81.9693933,35,Medium,-79.70495754
19205,-79.50917098,34,Low,-66.18584611
36292,-108.8663443,140,High,-76.11328978
24468,-99.51520557,21,Low,-58.52044047
30687,-105.7921741,57,Low,-55.24514876
8255,-86.30689718,53,Low,-68.6804495
8749,-104.2879535,103,Low,-89.1971158
17196,-59.45184872,105,Low,-66.50101851
45380,-91.71339704,46,High,-68.89611059
38678,-85.11896942,55,Medium,-60.44379157
25459,-103.0965344,92,Low,-55.18912625
20743,-113.3871367,91,High,-81.68963746
17078,-83.05272743,6,High,-83.01654364
24409,-74.84629963,139,Medium,-57.42385677
14539,-86.3713478,94,High,-61.78000874
29652,-89.67376973,26,Low,-51.88574367
12670,-105.7503281,90,Medium,-63.27730416
28432,-86.0287387,4,High,-59.17456691
20051,-51.76771256,45,High,-65.36919701
39859,-76.53675685,63,Low,-57.8015748
42617,-96.59694144,37,Low,-55.34611262
40,-92.92976888,12,Low,-88.28638927
6549,-83.96451033,46,Medium,-66.6311794
31032,-67.15368285,100,Low,-74.94923754
45060,-88.32298619,81,Low,-89.75629955
14730,-66.3896771,141,Medium,-64.36932561
9321,-111.0353388,58,High,-64.87907481
40401,-63.48234418,73,Low,-67.35214381
14827,-62.38131596,54,High,-82.42333586
49413,-99.5609196,30,Low,-53.94151762
48239,-107.9940072,92,Low,-57.01315371
5306,-113.8940946,78,Low,-52.35229581
41208,-119.3144874,41,Medium,-68.76255209
13338,-94.06101854,102,Medium,-76.98820923
2616,-91.64491615,54,Medium,-71.47625419
20615,-73.48685983,12,High,-79.60052086
19426,-113.6707194,14,Medium,-59.55211283
43587,-58.4266114,37,Low,-76.19040192
6996,-62.46108205,131,Medium,-89.75409756
5223,-102.0140346,45,High,-77.52056392
38692,-114.404545,126,Medium,-68.81468002
29206,-58.61488108,139,Medium,-65.08516052
47619,-93.12175042,13,High,-79.69238847
41491,-117.8116335,96,Low,-54.73353903
48127,-57.1547615,40,Medium,-63.96256748
8382,-98.70753898,102,Low,-61.71665673
22522,-114.8787027,136,Low,-88.14893154
42437,-97.17030704,101,High,-54.95520628
36949,-50.81069164,35,Medium,-52.3019835
17221,-83.71819484,135,High,-78.08411974
34542,-53.1714014,84,Low,-52.79962305
34210,-67.2400021,26,High,-68.06900018
8134,-86.73442318,18,High,-89.91622398
8891,-103.7076801,94,Low,-73.93951858
38227,-115.7731065,123,High,-64.10395288
48259,-116.2960301,120,Medium,-76.30792544
21981,-54.78620267,138,Medium,-51.59172994
44367,-74.56588904,127,High,-59.92425276
12107,-79.36051951,136,High,-89.20135544
8189,-63.03040503,146,Low,-56.77686827
10524,-50.88081459,52,Low,-65.17135181
2843,-57.98583839,72,Medium,-79.27067277
4787,-58.52370512,143,Low,-83.97578866
45390,-112.1946841,116,Medium,-58.76513099
14139,-84.22182657,12,High,-67.5660276
34232,-73.5678974,17,Low,-89.28337855
48091,-118.9105852,37,Low,-61.43519473
32177,-65.69112753,85,Medium,-63.0306612
26984,-65.63757921,14,Medium,-59.31124453
28916,-81.50028523,58,Low,-71.81405068
23405,-72.66131376,137,Medium,-78.36306375
21777,-106.4799865,47,High,-84.25735368
39681,-56.05159555,116,Low,-62.56914822
2421,-108.5032084,15,Low,-74.81092705
22997,-58.65985082,28,Medium,-66.97600835
6290,-84.95177482,130,Medium,-76.92832119
16359,-57.80353909,13,High,-83.44826339
38760,-92.35352066,89,Medium,-56.25115577
14079,-77.47625382,16,Medium,-83.63558833
12108,-56.73784346,35,Medium,-72.66754064
26946,-90.89472217,125,Medium,-83.75822734
7916,-89.06899581,60,Low,-88.31681242
34773,-96.81075173,100,Low,-66.20634898
27096,-107.7437171,39,High,-86.69177941
27769,-91.30480746,14,Low,-84.6368581
29124,-64.79825255,125,Medium,-72.88786405
1580,-71.79612284,72,Low,-73.131642
24341,-95.21729089,14,High,-52.41943339
20584,-64.96605525,27,Low,-52.82594523
22007,-93.38537941,18,High,-71.27150473
23071,-69.14517832,74,High,-64.20981753
15797,-83.00848064,66,Low,-50.06599073
44739,-53.92776796,25,Low,-85.80422527
10533,-81.30555168,15,Medium,-84.06210966
25224,-110.8946289,56,Medium,-81.88878879
4882,-59.85622859,19,Medium,-58.91568255
8096,-70.03038716,141,High,-68.81328263
46765,-51.99358442,80,High,-84.47526768
44055,-78.70142513,17,Low,-60.29455996
45787,-58.4153858,48,Medium,-83.21476596
21726,-51.75904544,147,Low,-80.11672047
44908,-116.1707739,48,Low,-55.18790551
8335,-75.82795365,146,Low,-53.50165503
30270,-61.45613428,24,High,-79.58426622
18295,-82.60518792,105,High,-79.96122395
16618,-55.43404298,83,Low,-59.87904569
33689,-50.59204927,29,Medium,-80.5147004
16880,-117.3232722,46,Medium,-64.04148701
8379,-62.96996261,41,High,-80.81652127
7532,-109.3264819,85,Low,-70.53802802
19156,-95.71224649,2,Low,-50.99031665
49847,-94.56383078,49,Medium,-58.13389465
41696,-84.86372673,45,Medium,-63.31075379
2639,-63.12138663,57,High,-54.86525574
35030,-81.61861381,65,Medium,-82.05575675
8213,-88.6960101,114,High,-59.17543971
36531,-97.9305114,81,High,-79.7709934
21722,-73.86977814,109,Medium,-72.26791691
8546,-113.5308454,39,Low,-78.32754578
26155,-72.6633947,85,Medium,-59.52722376
241,-78.1371094,111,Low,-58.7354201
45835,-67.58746786,148,Low,-86.57066929
27187,-80.46298236,121,Low,-54.06579421
38840,-119.2129257,148,High,-79.87382781
15133,-93.72099812,114,Medium,-55.17239511
36501,-78.33291749,53,High,-63.35582075
30301,-67.02131758,137,Low,-81.74509803
23934,-81.09826659,78,High,-75.34441723
25006,-77.72807707,76,Medium,-60.79739215
21243,-57.75210347,12,Medium,-59.12979705
33115,-57.35447726,79,Low,-62.13256851
27704,-71.99206223,61,Low,-81.44015782
48600,-65.21079704,32,High,-73.73761808
26457,-75.85440151,77,High,-71.00957821
29262,-118.2488032,27,High,-78.02373394
17133,-69.34066724,59,Medium,-65.41983493
25255,-109.7254146,84,High,-66.11576685
47146,-116.9933169,45,Low,-58.07711317
17092,-101.4638826,148,Medium,-84.96667584
35133,-114.1261657,87,High,-59.58669551
46274,-94.10315083,60,High,-62.75262477
35573,-69.27728209,134,High,-79.05861255
546,-90.64405101,33,High,-56.47859408
43924,-69.96369388,50,High,-65.91951184
2715,-117.1691267,88,Medium,-73.67276304
39729,-111.6749932,57,Low,-54.90718544
28013,-112.1484385,69,Low,-85.75741386
10618,-66.60113854,67,Medium,-63.57467553
34711,-75.74343551,57,Low,-88.44126718
28321,-69.80516507,95,High,-53.95593276
24953,-86.13639161,49,High,-53.87756502
2982,-97.71800112,86,Low,-82.13875818
40947,-88.51162593,73,Low,-50.64034923
37352,-92.0024047,63,High,-65.0712146
30334,-107.0358745,82,Medium,-86.85635865
15098,-97.6091112,103,High,-53.10447962
44838,-112.5424305,37,Medium,-72.45501915
8918,-88.25173507,79,High,-55.6755358
22548,-57.32514387,100,Medium,-54.27797521
31414,-64.93620363,48,Medium,-50.39438338
42844,-70.28039432,103,Low,-88.38679964
14623,-74.631273,19,Medium,-66.32390491
26618,-89.9394135,82,High,-86.64558773
1524,-85.20532481,128,Medium,-80.80439663
10334,-116.9387756,86,Low,-79.26286814
11162,-69.97774641,93,Low,-87.77009368
21873,-61.31464634,33,High,-85.82354564
37744,-103.111811,49,Medium,-58.18771745
4166,-91.63769463,138,Medium,-69.18595747
39631,-75.07605958,110,High,-52.59380199
12645,-94.92466844,84,Low,-64.42851088
3329,-74.15876448,4,High,-61.64154534
41148,-112.7111831,88,Low,-76.5541136
25845,-91.51963451,64,High,-72.02959964
17870,-98.5511997,19,Medium,-54.6218697
38932,-102.177093,148,High,-58.67320338
30223,-110.8763153,107,Medium,-70.79434291
31408,-111.2184675,72,Medium,-65.34627303
46123,-80.93399965,136,Low,-56.08310811
28263,-114.3383482,47,Low,-77.32575835
14222,-110.1023901,89,Low,-82.05149751
8178,-54.28118028,90,High,-69.58016767
40685,-93.49349053,144,Medium,-80.92732045
5013,-97.72630434,28,Medium,-69.12131798
26543,-66.47098431,12,Medium,-69.34341656
39904,-101.7135292,138,Medium,-82.39169591
7472,-104.9427552,130,High,-50.26139977
48817,-112.5973323,139,Medium,-65.47179821
32298,-70.25414531,18,Low,-58.67879256
28459,-100.2837703,86,High,-75.33353914
400,-91.03344696,107,Medium,-84.87033037
19082,-110.6238907,43,High,-79.08015472
8146,-62.6876714,97,Low,-85.14717283
34462,-104.185557,81,Medium,-89.38253555
12756,-51.49195817,140,Medium,-70.37008871
27726,-107.941101,62,Low,-64.63207751
19533,-86.03969565,100,Medium,-71.38382852
14464,-66.2017538,138,Low,-52.60898226
32463,-84.19072973,2,High,-59.3328498
26755,-107.2685679,145,Low,-77.57869751
10367,-75.80943029,94,Medium,-61.99790417
9798,-58.53573714,95,High,-77.67283249
47784,-77.26638218,98,Low,-85.83425206
30594,-86.49878975,3,Medium,-87.67838922
661,-103.3006258,145,Medium,-52.0750736
46015,-103.1891289,6,Medium,-72.70945144
3767,-83.54934151,126,Low,-53.89135518
24518,-57.69649194,147,Low,-58.9960208
49030,-115.3382541,122,Medium,-82.74576912
41312,-61.88216107,138,Low,-54.71659144
5896,-112.8446611,58,Medium,-70.69824872
5749,-87.74828095,86,High,-70.22898636
36317,-103.7463555,64,High,-74.07429849
47255,-63.42166589,28,Medium,-75.10150581
49171,-63.26036965,8,Low,-62.45657683
22495,-118.3672071,42,Medium,-53.05023052
31351,-116.0673605,78,Medium,-84.74758427
9725,-91.77324529,19,High,-50.14360181
23957,-119.8511021,108,Low,-72.23747714
43617,-76.53989861,90,Medium,-88.94037685
1088,-89.18455009,90,Medium,-67.19395033
29172,-50.94755918,98,High,-51.97868352
21082,-108.2368415,12,Medium,-67.82507107
18079,-97.45804573,20,Low,-78.29481377
19554,-103.1217733,44,Low,-68.56053793
17540,-53.23579537,67,Low,-68.32705538
1515,-105.2035035,0,Low,-77.04780779
47173,-76.41207493,70,High,-81.87535491
34127,-73.66411054,103,High,-59.2324205
28970,-72.79431973,148,Medium,-54.56033127
27595,-69.91293447,106,Medium,-59.02568297
23307,-53.02327518,21,Medium,-88.70809102
32048,-72.36799972,35,Low,-76.54045806
48328,-113.0572404,69,Medium,-81.75157352
39825,-115.2883652,77,Low,-77.04697702
42973,-72.87776306,24,Low,-50.38581102
3344,-92.26478381,89,High,-71.53610361
41192,-73.38090227,17,Medium,-72.78906262
5631,-86.79836976,134,Medium,-85.49400633
19927,-61.29708821,48,Low,-65.21835515
44211,-66.03606467,89,Medium,-75.16835974
36511,-65.818083,37,Medium,-69.41474429
2439,-97.26466234,71,High,-65.09836825
5155,-109.200129,15,Medium,-60.71372749
47997,-52.59768489,10,High,-51.10577735
34745,-59.60057162,70,Medium,-58.57599404
49378,-89.36755517,38,Low,-80.40739013
26403,-75.13651684,43,Low,-51.29730224
48044,-72.6755619,59,Low,-78.43022636
12940,-59.13475116,32,High,-83.09702531
8817,-99.85125211,135,Low,-86.35620191
44953,-58.48036366,73,High,-80.33173667
25988,-118.0502289,53,Medium,-74.81412032
6031,-105.6361564,101,High,-61.13358556
991,-73.22764829,106,Medium,-79.6147877
28991,-83.59168436,60,High,-70.613758
15814,-88.77111884,43,Low,-56.62700413
19017,-68.53714887,0,Low,-81.05704624
22696,-63.81478392,90,Low,-53.99415469
21444,-80.51502983,45,Low,-75.28021688
11612,-67.2501467,119,High,-59.50354059
9617,-118.5187739,45,High,-88.92552035
20269,-51.28224868,32,Medium,-51.57872497
28616,-67.52701177,5,Low,-64.71111251
29335,-73.73733341,64,High,-70.7264652
25385,-72.2588046,37,Low,-63.52472828
17360,-69.86704553,105,High,-72.87662276
42090,-97.18909038,44,Low,-63.15688177
48628,-117.4291605,70,Low,-70.84789963
48576,-60.68465312,62,High,-57.52611174
229,-75.04121098,60,Low,-53.91026904
19451,-71.34530139,92,Low,-66.5988882
49907,-53.61733422,115,Medium,-72.26242775
24919,-81.40310794,137,Medium,-88.75212536
39327,-89.55483463,75,High,-57.08686459
42786,-114.0703478,22,High,-54.5554732
947,-51.20807599,83,High,-89.51006263
19902,-74.10156909,127,Medium,-79.72105194
3452,-94.78322409,51,High,-51.61834946
42843,-103.8847055,6,Medium,-79.65652544
44780,-88.80490023,126,Low,-72.60686704
45598,-99.69478588,90,Low,-66.5336136
31063,-63.02707418,101,Low,-85.13428521
25187,-53.89603364,6,Medium,-59.88791909
24939,-60.18492111,3,Low,-56.56016048
28326,-107.9262348,146,Low,-75.12129981
34572,-81.3868904,100,Medium,-80.47258945
29667,-85.41855371,69,Medium,-89.52432745
42589,-117.4724241,83,Medium,-79.39411185
34276,-109.1306308,55,Low,-65.61110924
26165,-90.31779544,8,High,-72.78083877
9533,-51.20208526,110,Low,-88.48429732
20363,-57.06180873,125,Medium,-85.98687995
46564,-100.7991517,56,High,-81.37222007
36999,-75.79492633,66,Low,-72.29541717
24640,-102.3332204,6,Medium,-68.25548304
11531,-91.90989342,89,Low,-57.15632968
17300,-100.2072723,21,Medium,-57.5419634
41176,-72.90031386,95,High,-59.47640015
6954,-93.81669017,27,Low,-85.81512923
9406,-61.04710539,18,Medium,-50.74205918
33792,-76.45209212,44,High,-51.93951176
4778,-61.9237896,28,Low,-57.94115995
6365,-117.1498204,106,High,-76.32563105
22472,-63.85924112,100,Medium,-52.4881481
417,-68.55111088,38,High,-56.05374922
27952,-71.97581103,79,Low,-86.62807863
20732,-57.54906447,81,Medium,-78.7471938
32894,-69.72564836,34,Low,-79.2539793
3643,-85.26600148,46,High,-75.88884814
29799,-77.64637788,147,Medium,-77.10960031
33832,-60.31501313,117,Medium,-65.72186711
25392,-109.8027564,7,Medium,-88.32419973
32915,-111.9200972,0,Low,-79.10206656
17695,-93.12980707,60,Medium,-51.14724502
25716,-111.3279741,47,High,-75.91334855
6106,-116.5168322,29,Medium,-62.67282053
11415,-52.88610181,115,High,-63.80243913
23571,-94.07084388,135,High,-76.84905421
8067,-116.7620473,95,High,-56.21009441
6604,-64.1906157,26,Medium,-55.92801136
46081,-101.7268563,91,Low,-72.70319386
3264,-53.81037296,80,High,-54.60746297
25660,-94.51217031,107,High,-69.01638262
14525,-62.77546798,33,Medium,-64.1157814
25618,-55.62604165,72,Low,-81.4717706
16347,-119.6286088,13,Medium,-57.14820147
3886,-80.94189093,116,High,-77.01491369
19647,-103.5119323,138,High,-73.41456649
13859,-51.17359108,59,Medium,-60.52526377
12547,-80.71342828,143,Medium,-51.89009993
46837,-50.27492515,113,Medium,-62.81662607
977,-93.38254254,13,Medium,-56.45180306
26755,-54.81734464,117,Medium,-80.55508214
18485,-58.29425266,64,Medium,-71.90828168
13002,-111.3213267,0,High,-68.91427793
2773,-83.61934027,124,Low,-67.38623735
43961,-112.3201282,43,Low,-76.7985001
18546,-96.73300307,102,High,-78.42246249
19620,-55.23829284,7,Low,-56.10533008
7111,-107.8969099,50,Medium,-83.7524944
1470,-99.18036536,103,Low,-51.71324162
10924,-115.0850275,133,Low,-75.99182291
38323,-100.8358573,125,Low,-75.83321986
47429,-109.0502024,101,High,-50.07055491
18355,-86.54498731,74,Medium,-86.60626509
21111,-96.60819083,7,High,-76.45334041
3123,-116.9447621,114,Low,-74.70190085
15714,-111.516156,106,Low,-67.5480379
30251,-92.74728349,6,High,-58.38757931
12043,-61.63465316,62,Low,-50.32606935
48015,-98.75784288,28,Medium,-52.19714886
4708,-107.9938757,60,Medium,-84.19545205
43204,-57.85435796,141,Medium,-64.07845282
46390,-98.31252745,62,Low,-53.45808619
39773,-66.2434334,51,High,-86.72487808
16121,-113.6355102,51,High,-73.13049416
16069,-59.2934663,14,Low,-73.54650023
19766,-90.8571625,12,High,-59.84461024
47669,-77.3778904,41,Low,-80.51814654
34103,-91.28425692,35,High,-59.2384194
30037,-60.56078495,51,Low,-53.64948649
49032,-80.77167124,123,Low,-56.39790616
43290,-67.10053972,107,Medium,-85.57495645
14901,-74.38931708,124,Medium,-80.83913847
19173,-83.59208443,33,High,-83.79893228
12959,-106.3914891,57,Low,-59.65007159
28359,-82.57051292,5,Medium,-76.91532364
11850,-106.4500024,67,Medium,-68.97258962
8213,-109.4505227,53,Low,-63.4805801
17666,-81.47569835,113,High,-72.82783128
45366,-59.35075198,125,Low,-56.27241095
17819,-89.24552282,103,High,-81.36618271
36942,-82.83998304,10,High,-74.25319785
18394,-95.85121919,34,High,-77.74164922
37735,-68.40907716,117,High,-88.32955075
14315,-55.63538643,104,Medium,-53.42939977
26,-53.61074602,90,Medium,-51.5952535
30298,-68.28303598,103,High,-77.13636644
3425,-114.2513167,57,Low,-78.75128143
44146,-108.2100329,128,Low,-58.63881634
3140,-108.0115131,124,High,-54.49978542
13264,-94.30060018,26,Medium,-71.78847813
20962,-70.89471771,46,High,-74.54392555
7255,-80.17179294,20,Medium,-81.52525257
2623,-81.92939516,34,Low,-81.35687307
33751,-97.09360618,120,High,-57.07032664
36404,-103.5729427,97,Low,-80.79058282
20405,-82.37335859,125,Medium,-77.79730036
10099,-89.39755011,122,High,-86.49325878
16622,-117.1497985,12,High,-53.11034965
23895,-64.85299033,91,Medium,-86.23434705
17963,-54.7325684,20,High,-63.31159144
5156,-63.95230664,33,High,-75.08400517
25786,-53.05248152,148,Low,-88.30528019
41486,-64.99875957,9,High,-61.36932598
21799,-71.43377824,95,Medium,-83.69701053
38085,-117.3703615,68,Medium,-84.46964925
8521,-73.57563515,135,High,-89.8516125
44665,-97.33820474,127,Medium,-68.002854
4678,-103.6359219,113,High,-51.85731648
25126,-65.72686138,149,High,-50.96939044
6204,-68.62338788,87,High,-58.78790643
35414,-71.01588102,90,Low,-64.87920386
23915,-115.8573687,57,Low,-63.33905038
28986,-66.96033501,50,High,-70.61568967
17643,-60.70021888,21,High,-77.16278291
22930,-79.54901861,115,Low,-51.6813992
42527,-75.55834981,86,Low,-82.25404011
36051,-84.87351349,126,Low,-61.03814222
8288,-116.9174984,97,Medium,-88.41169414
28522,-83.81447324,144,High,-83.2168885
45277,-96.16189786,34,High,-74.2594602
13114,-115.2332983,127,High,-85.83580389
44416,-93.59905989,121,Low,-76.24388728
10578,-106.5832088,47,High,-59.18009507
20791,-93.36714667,26,High,-70.37601654
34432,-69.18171585,22,Low,-70.16775358
29853,-56.72904073,71,High,-61.86085992
20749,-103.0136265,121,Medium,-70.90158053
11627,-61.29535142,54,High,-67.5529408
23533,-90.52347416,75,Medium,-79.41896476
47605,-118.6769481,146,Low,-54.85403283
35830,-110.8632982,141,Medium,-78.11962459
10665,-96.8284478,102,High,-71.03736069
9204,-73.70030817,28,High,-76.87921595
25772,-65.92198973,36,High,-71.39552324
20797,-62.93052776,7,High,-71.57206259
44421,-55.61273188,125,Medium,-74.79985263
14989,-98.9535727,145,Medium,-80.77778364
46476,-91.40838375,53,Low,-52.60245182
29445,-118.8237374,133,High,-66.69080258
36738,-89.33955733,2,Medium,-55.70456225
28785,-50.62605023,149,Low,-72.21592309
3184,-64.7434634,85,Low,-77.90673714
9157,-115.0023934,21,Medium,-83.60797735
27717,-59.19628784,25,Medium,-64.80380974
77,-111.5601661,73,Medium,-63.73078705
30061,-52.90028954,140,High,-64.66941812
21308,-87.17456268,41,Medium,-65.09594237
43662,-94.41006716,5,High,-65.13293269
22271,-80.04729546,73,High,-85.52263912
33054,-93.35457655,2,Medium,-88.05197786
16555,-63.68598552,116,High,-71.28252938
23577,-68.48444097,93,Low,-53.91045644
36338,-68.09599791,74,Low,-75.10478386
399,-51.05727485,43,Medium,-50.23157046
11035,-59.96889654,22,High,-84.12868043
34276,-91.26149761,102,Medium,-65.79747219
19549,-86.34877943,40,Medium,-88.53132767
11868,-61.30582827,144,High,-58.31118206
49631,-73.5209173,114,High,-66.81173932
14742,-80.92662739,37,Medium,-60.82857424
44342,-98.33539319,111,Low,-89.64788616
24391,-52.82778916,118,Medium,-57.77532901
31052,-58.25280709,71,High,-87.53296746
38692,-101.4198238,116,Low,-87.03445069
21000,-71.87812249,102,High,-72.20854033
2361,-87.21390931,65,Low,-61.75478939
29655,-94.88824156,98,High,-87.98647832
34916,-96.05685255,27,High,-68.21988415
12563,-108.8560188,108,Low,-71.84040792
12868,-95.42820434,87,Medium,-85.16426451
33922,-79.64156288,59,Low,-82.93137322
33736,-89.48108271,52,High,-78.79265274
37966,-107.3484657,116,Low,-61.04619045
25604,-89.04887106,42,Medium,-82.06159662
49487,-92.51967976,6,Medium,-59.97359498
35097,-57.84403571,84,High,-78.38844713
27056,-108.8391977,130,Medium,-81.52242319
37340,-75.47765421,34,Medium,-82.22448923
18203,-58.91057119,122,High,-50.9468445
35520,-66.33234904,62,High,-61.00021157
18915,-80.29142772,124,Low,-75.30011097
6888,-64.10974444,29,Medium,-65.56168705
17064,-50.15639464,92,Low,-70.58326709
37274,-58.98083991,138,Low,-73.96237825
21323,-57.17813526,77,Medium,-67.12979155
42902,-52.57216582,13,Medium,-72.62440289
9148,-53.74310748,90,Medium,-85.66442246
18431,-68.59468573,9,Medium,-87.79459804
23410,-59.29031665,27,Low,-56.78985986
25986,-78.63000882,136,Medium,-80.19051839
4861,-88.86783457,54,Medium,-74.23078394
19798,-74.51167863,11,High,-84.35359203
7721,-84.41992774,22,Medium,-68.19474984
13553,-87.79606396,42,Medium,-79.91500025
17166,-91.70521904,100,Low,-73.40536542
41274,-101.6411567,95,Low,-80.27303999
46102,-68.4387191,45,Low,-86.78202602
22594,-101.7903934,120,Low,-51.068212
16726,-60.09781738,118,Medium,-52.9601155
1362,-100.2535867,55,Low,-85.87092429
27699,-101.0382759,58,High,-57.85814248
47367,-87.28861374,130,High,-64.82387571
31336,-81.09946887,105,Medium,-84.49845017
32752,-78.31871409,27,High,-72.43209529
9128,-96.42149321,81,Low,-53.37730027
43077,-95.02791604,95,High,-69.44999309
32842,-81.25867427,142,Medium,-77.33419075
4199,-76.3683055,106,Medium,-78.76339843
39398,-117.2247253,131,High,-60.63860595
12059,-95.28287951,102,High,-59.1024032
20062,-52.34801681,83,Low,-79.42742197
18026,-114.0888693,93,High,-68.46389561
23033,-87.80363127,147,Low,-86.02801517
13177,-108.8388803,41,High,-76.25768771
36770,-100.3452057,16,Medium,-68.21064533
1208,-77.53777039,127,High,-83.88251527
44567,-57.11833786,10,Medium,-88.93297647
26307,-64.84645907,57,Low,-54.32124774
23956,-107.4977557,26,High,-84.90464791
47985,-66.74103119,74,High,-82.09262579
34890,-82.16608674,123,Medium,-58.99261535
37818,-87.33814529,74,Low,-74.9155383
39024,-82.4678806,111,Low,-56.8494562
2537,-79.50441395,100,High,-78.16159092
38679,-57.52977746,79,High,-72.1032611
49048,-54.15379481,86,High,-79.31255691
7172,-87.48495838,83,High,-50.90226268
21995,-63.37866756,69,Low,-83.55574065
30691,-91.5597349,84,Medium,-86.36233885
38040,-77.41572665,68,Medium,-82.02129346
5905,-56.74481149,68,Low,-77.32863445
25346,-110.8040412,56,Medium,-74.4089674
14507,-97.22501512,134,Medium,-55.82856798
49605,-83.70924011,94,Low,-69.39727738
19440,-89.84610649,77,Low,-75.50609861
37123,-98.21071508,24,High,-78.99381418
20256,-59.5969745,133,High,-64.69095639
23701,-67.67929925,24,Low,-54.47055358
3532,-61.31430944,74,Medium,-55.05062122
14579,-112.7137146,78,Medium,-55.21132232
8356,-57.81713776,32,High,-55.72568269
36100,-87.520304,123,High,-67.20035178
12703,-53.98576128,41,Low,-68.73178475
44028,-65.3151841,82,High,-74.92280906
42388,-71.73978158,86,Low,-80.8138736
41978,-56.12373936,119,Medium,-51.34411119
13029,-92.24955018,84,Medium,-84.11668783
33736,-94.57278966,2,High,-60.69029297
41189,-112.6294935,105,Medium,-88.68205155
37257,-116.7811696,69,Low,-63.32050246
16252,-52.98929548,102,Low,-61.48110656
16205,-86.69157299,146,Low,-50.56317018
17035,-79.32578312,78,Medium,-80.99349783
35765,-116.8393397,79,High,-76.42695764
26889,-75.74996316,5,High,-62.60028135
44431,-116.9611027,13,Medium,-88.26187215
17127,-107.0370717,86,Medium,-57.26358725
31760,-75.99630249,1,Medium,-67.26877412
697,-115.8774398,90,Low,-89.81460049
47008,-107.419948,74,Low,-69.59286848
23312,-116.1517388,71,Low,-56.19328915
24850,-114.1912434,70,Medium,-87.4114239
41942,-102.7149494,117,Low,-88.81546674
39716,-117.0216807,63,Medium,-50.25182821
36167,-93.31823106,73,High,-59.42406915
9160,-85.48467481,28,Medium,-82.59684039
10663,-86.66017135,91,Medium,-53.02961318
9503,-87.21947736,25,Medium,-65.74884017
14109,-60.817951,7,High,-82.20998769
33052,-118.3720294,21,Medium,-75.83488703
20090,-73.29010013,108,High,-68.98753426
41681,-86.50374294,92,Medium,-57.10774227
7545,-64.34164121,120,High,-76.3325521
13071,-84.10986193,146,Low,-87.21138317
2937,-73.12259814,64,Low,-59.14632609
10278,-102.2723323,126,High,-89.35597979
63,-81.95282732,14,High,-52.09927934
